Performing system checks...

System check identified no issues (0 silenced).
October 23, 2020 - 06:29:14
Django version 3.0.8, using settings 'backend.settings'
Starting development server at http://0.0.0.0:9898/
Quit the server with CONTROL-C.
[23/Oct/2020 06:37:25] "GET /static/css/app.fe5832ee0d417750f630cb7d8e7e2e61.css HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/manifest.2ae2e69a05c33dfc65f8.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/vendor.51946e30b108bb294f21.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/app.38783f422f3306035bce.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/js/2D.js HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/img/left_logo.png HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 304 0
[23/Oct/2020 06:37:25] "GET /static/img/log.ico HTTP/1.1" 304 0
[23/Oct/2020 06:37:28] "GET /api/projector_sample?run=.&tag=outputs&index=77&trainJobName=test HTTP/1.1" 200 362
[23/Oct/2020 06:37:29] "GET /api/projector_sample?run=.&tag=outputs&index=258&trainJobName=test HTTP/1.1" 200 388
[23/Oct/2020 06:37:31] "GET /api/init?id=test&trainJobName=test HTTP/1.1" 200 64
[23/Oct/2020 06:37:31] "GET /api/getCategory?trainJobName=test HTTP/1.1" 200 1314
[23/Oct/2020 06:37:36] "GET /api/projector_sample?run=.&tag=outputs&index=919&trainJobName=test HTTP/1.1" 200 352
[23/Oct/2020 06:37:36] "GET /api/graph?run=RNN&tag=c_graph&trainJobName=test HTTP/1.1" 200 10231
[23/Oct/2020 06:37:36] "GET /api/graph?run=wavenet&tag=c_graph&trainJobName=test HTTP/1.1" 200 1434624
[23/Oct/2020 06:37:37] "GET /api/projector_sample?run=.&tag=outputs&index=684&trainJobName=test HTTP/1.1" 200 402
[23/Oct/2020 06:37:46] "GET /api/graph?run=mnist&tag=c_graph&trainJobName=test HTTP/1.1" 200 8226
[23/Oct/2020 06:38:34] "GET /api/projector_sample?run=.&tag=outputs&index=534&trainJobName=test HTTP/1.1" 200 361
[23/Oct/2020 06:38:37] "GET /api/projector_sample?run=.&tag=outputs&index=316&trainJobName=test HTTP/1.1" 200 365
[23/Oct/2020 06:38:59] "GET /api/projector?run=oneflow&tag=embedding_projector&trainJobName=test HTTP/1.1" 200 124
[23/Oct/2020 06:38:59] "GET /api/projector?run=.&tag=outputs&trainJobName=test HTTP/1.1" 200 226
[23/Oct/2020 06:38:59] "GET /api/projector?run=RNN&tag=dense_1&trainJobName=test HTTP/1.1" 200 147
[23/Oct/2020 06:38:59] "GET /api/projector_data?run=.&tag=outputs&step=38&method=tsne&dims=3&trainJobName=test HTTP/1.1" 200 29428
[23/Oct/2020 06:39:03] "GET /api/projector_data?run=.&tag=outputs&step=38&method=tsne&dims=4&trainJobName=test HTTP/1.1" 200 38937
[23/Oct/2020 06:39:07] "GET /api/projector_sample?run=.&tag=outputs&index=994&trainJobName=test HTTP/1.1" 200 320
[23/Oct/2020 06:39:10] "GET /api/projector_sample?run=.&tag=outputs&index=925&trainJobName=test HTTP/1.1" 200 406
[23/Oct/2020 06:39:14] "GET /api/projector_sample?run=.&tag=outputs&index=356&trainJobName=test HTTP/1.1" 200 406
[23/Oct/2020 06:39:16] "GET /api/projector_sample?run=.&tag=outputs&index=981&trainJobName=test HTTP/1.1" 200 412
[23/Oct/2020 06:39:20] "GET /api/projector_sample?run=.&tag=outputs&index=183&trainJobName=test HTTP/1.1" 200 285
[23/Oct/2020 06:39:24] "GET /api/projector_sample?run=.&tag=outputs&index=440&trainJobName=test HTTP/1.1" 200 417
[23/Oct/2020 06:39:27] "GET /api/projector_sample?run=.&tag=outputs&index=13&trainJobName=test HTTP/1.1" 200 403
[23/Oct/2020 06:39:34] "GET /api/projector_sample?run=.&tag=outputs&index=440&trainJobName=test HTTP/1.1" 200 417
[23/Oct/2020 06:39:38] "GET /api/projector_sample?run=.&tag=outputs&index=183&trainJobName=test HTTP/1.1" 200 285
[23/Oct/2020 06:39:42] "GET /api/projector_sample?run=.&tag=outputs&index=896&trainJobName=test HTTP/1.1" 200 420
[23/Oct/2020 06:39:54] "GET /api/projector_sample?run=.&tag=outputs&index=899&trainJobName=test HTTP/1.1" 200 441
[23/Oct/2020 06:40:10] "GET /api/projector_sample?run=.&tag=outputs&index=969&trainJobName=test HTTP/1.1" 200 367
[23/Oct/2020 06:40:22] "GET /api/projector_sample?run=.&tag=outputs&index=970&trainJobName=test HTTP/1.1" 200 367
[23/Oct/2020 12:49:55] "GET / HTTP/1.1" 200 707
[23/Oct/2020 12:49:55] "GET /static/js/manifest.2ae2e69a05c33dfc65f8.js HTTP/1.1" 200 857
[23/Oct/2020 12:49:55] "GET /static/css/app.fe5832ee0d417750f630cb7d8e7e2e61.css HTTP/1.1" 200 370502
[23/Oct/2020 12:49:55] "GET /static/js/2D.js HTTP/1.1" 200 96367
[23/Oct/2020 12:49:55] "GET /static/js/app.38783f422f3306035bce.js HTTP/1.1" 200 336212
[23/Oct/2020 12:49:55] "GET /static/js/vendor.51946e30b108bb294f21.js HTTP/1.1" 200 3300013
[23/Oct/2020 12:49:56] "GET /static/img/left_logo.png HTTP/1.1" 200 10154
[23/Oct/2020 12:49:56] "GET /static/fonts/element-icons.535877f.woff HTTP/1.1" 200 28200
[23/Oct/2020 12:49:56] "GET /static/img/log.ico HTTP/1.1" 200 4286
[23/Oct/2020 12:50:01] "GET /api/init?id=test&trainJobName=test HTTP/1.1" 200 64
[23/Oct/2020 12:50:01] "GET /api/getCategory?trainJobName=test HTTP/1.1" 200 1314
[23/Oct/2020 12:50:07] "GET /api/graph?run=wavenet&tag=c_graph&trainJobName=test HTTP/1.1" 200 1433923
[23/Oct/2020 12:50:37] "GET /api/graph?run=step_5000&tag=c_graph&trainJobName=test HTTP/1.1" 200 6514
[23/Oct/2020 12:50:40] "GET /api/graph?run=vgg&tag=c_graph&trainJobName=test HTTP/1.1" 200 188457
[23/Oct/2020 12:50:49] "GET /api/scalar?run=oneflow&tag=scalar&trainJobName=test HTTP/1.1" 200 196
[23/Oct/2020 12:51:32] "GET /api/scalar?run=wavenet&tag=wavenet_1%2Floss%2Floss&trainJobName=test HTTP/1.1" 200 478
[23/Oct/2020 12:52:09] "GET /api/text?run=oneflow&tag=text&trainJobName=test HTTP/1.1" 200 146
[23/Oct/2020 12:52:09] "GET /api/text?run=train&tag=input%2Fword_1&trainJobName=test HTTP/1.1" 200 541
[23/Oct/2020 12:52:09] "GET /api/text?run=train&tag=input%2Fword_2&trainJobName=test HTTP/1.1" 200 297
[23/Oct/2020 12:52:26] "GET /api/image?run=oneflow&tag=image0&trainJobName=test HTTP/1.1" 200 122
[23/Oct/2020 12:52:27] "GET /api/image?run=oneflow&tag=image1&trainJobName=test HTTP/1.1" 200 122
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=1&run=oneflow&tag=image0&trainJobName=test HTTP/1.1" 200 452678
[23/Oct/2020 12:52:27] "GET /api/image?run=oneflow&tag=image2&trainJobName=test HTTP/1.1" 200 122
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=1&run=oneflow&tag=image1&trainJobName=test HTTP/1.1" 200 437572
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=1&run=oneflow&tag=image2&trainJobName=test HTTP/1.1" 200 219
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 2550
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1985
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 2143
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 1867
[23/Oct/2020 12:52:27] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 1995
[23/Oct/2020 12:52:27] "GET /api/image?run=vgg&tag=input%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 1867
