Performing system checks...

System check identified no issues (0 silenced).
October 23, 2020 - 06:29:14
Django version 3.0.8, using settings 'backend.settings'
Starting development server at http://0.0.0.0:9898/
Quit the server with CONTROL-C.
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 276
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 330
[26/Oct/2020 10:52:30] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 10:52:30] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 300
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 399
[26/Oct/2020 10:52:30] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 309
[26/Oct/2020 10:52:30] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 371
[26/Oct/2020 10:52:30] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 371
[26/Oct/2020 10:52:30] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 10:52:30] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 307
[26/Oct/2020 10:52:31] "GET /api/audio?run=train&tag=bisine_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 744
[26/Oct/2020 10:52:31] "GET /api/audio_raw?step=0&run=train&tag=bisine_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 287143
[26/Oct/2020 10:52:31] "GET /api/audio?run=train&tag=sine_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 679
[26/Oct/2020 10:52:32] "GET /api/audio_raw?step=0&run=train&tag=sine_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 117477
[26/Oct/2020 10:52:32] "GET /api/audio?run=train&tag=square_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 685
[26/Oct/2020 10:52:32] "GET /api/audio_raw?step=0&run=train&tag=square_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 1671
[26/Oct/2020 10:52:32] "GET /api/audio?run=train&tag=triangle_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 688
[26/Oct/2020 10:52:32] "GET /api/audio_raw?step=0&run=train&tag=triangle_wave_1%2Faudio_summary&trainJobName=test HTTP/1.1" 200 45169
[26/Oct/2020 10:52:34] "GET /api/histogram?run=oneflow&tag=histogram&trainJobName=test HTTP/1.1" 200 1688
[26/Oct/2020 10:52:36] "GET /api/histogram?run=step_5000&tag=dense%2Fbias_0&trainJobName=test HTTP/1.1" 200 907137
[26/Oct/2020 10:52:37] "GET /api/histogram?run=step_5000&tag=dense_1%2Fbias_0&trainJobName=test HTTP/1.1" 200 271138
[26/Oct/2020 10:52:44] "GET /api/histogram?run=step_5000&tag=dense%2Fkernel_0&trainJobName=test HTTP/1.1" 200 4466852
[26/Oct/2020 10:52:49] "GET /api/histogram?run=step_5000&tag=dense_1%2Fkernel_0&trainJobName=test HTTP/1.1" 200 1726629
[26/Oct/2020 10:52:51] "GET /api/histogram?run=vgg&tag=conv1%2Factivations&trainJobName=test HTTP/1.1" 200 168913
[26/Oct/2020 10:52:53] "GET /api/histogram?run=vgg&tag=conv2%2Factivations&trainJobName=test HTTP/1.1" 200 165621
[26/Oct/2020 10:52:54] "GET /api/histogram?run=vgg&tag=conv3%2Factivations&trainJobName=test HTTP/1.1" 200 147169
[26/Oct/2020 10:52:55] "GET /api/histogram?run=vgg&tag=conv4%2Factivations&trainJobName=test HTTP/1.1" 200 143348
[26/Oct/2020 10:52:56] "GET /api/histogram?run=vgg&tag=conv5%2Factivations&trainJobName=test HTTP/1.1" 200 134273
[26/Oct/2020 10:52:57] "GET /api/histogram?run=vgg&tag=conv6%2Factivations&trainJobName=test HTTP/1.1" 200 134518
[26/Oct/2020 10:52:58] "GET /api/histogram?run=vgg&tag=conv7%2Factivations&trainJobName=test HTTP/1.1" 200 134962
[26/Oct/2020 10:52:59] "GET /api/histogram?run=vgg&tag=conv8%2Factivations&trainJobName=test HTTP/1.1" 200 133093
[26/Oct/2020 10:53:01] "GET /api/histogram?run=vgg&tag=conv9%2Factivations&trainJobName=test HTTP/1.1" 200 140285
[26/Oct/2020 10:53:02] "GET /api/histogram?run=vgg&tag=conv10%2Factivations&trainJobName=test HTTP/1.1" 200 140315
[26/Oct/2020 10:53:03] "GET /api/histogram?run=vgg&tag=conv11%2Factivations&trainJobName=test HTTP/1.1" 200 114737
[26/Oct/2020 10:53:04] "GET /api/histogram?run=vgg&tag=conv12%2Factivations&trainJobName=test HTTP/1.1" 200 112583
[26/Oct/2020 10:53:05] "GET /api/histogram?run=vgg&tag=conv13%2Factivations&trainJobName=test HTTP/1.1" 200 111830
[26/Oct/2020 10:53:06] "GET /api/histogram?run=vgg&tag=conv1%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7503
[26/Oct/2020 10:53:07] "GET /api/histogram?run=vgg&tag=conv2%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7445
[26/Oct/2020 10:53:08] "GET /api/histogram?run=vgg&tag=conv3%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7457
[26/Oct/2020 10:53:10] "GET /api/histogram?run=vgg&tag=conv4%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7490
[26/Oct/2020 10:53:11] "GET /api/histogram?run=vgg&tag=conv5%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7478
[26/Oct/2020 10:53:12] "GET /api/histogram?run=vgg&tag=conv6%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7458
[26/Oct/2020 10:53:13] "GET /api/histogram?run=vgg&tag=conv7%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7472
[26/Oct/2020 10:53:14] "GET /api/histogram?run=vgg&tag=conv8%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7479
[26/Oct/2020 10:53:15] "GET /api/histogram?run=vgg&tag=conv9%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7449
[26/Oct/2020 10:53:16] "GET /api/histogram?run=vgg&tag=conv10%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7466
[26/Oct/2020 10:53:17] "GET /api/histogram?run=vgg&tag=conv11%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7447
[26/Oct/2020 10:53:18] "GET /api/histogram?run=vgg&tag=conv12%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7460
[26/Oct/2020 10:53:20] "GET /api/histogram?run=vgg&tag=conv13%2Fbiases%2Fhistogram&trainJobName=test HTTP/1.1" 200 7451
[26/Oct/2020 10:53:21] "GET /api/histogram?run=vgg&tag=conv1%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 99225
[26/Oct/2020 10:53:22] "GET /api/histogram?run=vgg&tag=conv2%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 177128
[26/Oct/2020 10:53:24] "GET /api/histogram?run=vgg&tag=conv3%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 180629
[26/Oct/2020 10:53:25] "GET /api/histogram?run=vgg&tag=conv4%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 191940
[26/Oct/2020 10:53:27] "GET /api/histogram?run=vgg&tag=conv5%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 204686
[26/Oct/2020 10:53:28] "GET /api/histogram?run=vgg&tag=conv6%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 221373
[26/Oct/2020 10:53:30] "GET /api/histogram?run=vgg&tag=conv7%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 222896
[26/Oct/2020 10:53:31] "GET /api/histogram?run=vgg&tag=conv8%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 265850
[26/Oct/2020 10:53:31] "GET /api/projector?run=oneflow&tag=embedding_projector&trainJobName=test HTTP/1.1" 200 124
[26/Oct/2020 10:53:32] "GET /api/histogram?run=vgg&tag=conv9%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 290046
[26/Oct/2020 10:53:32] "GET /api/projector?run=.&tag=outputs&trainJobName=test HTTP/1.1" 200 226
[26/Oct/2020 10:53:32] "GET /api/histogram?run=vgg&tag=conv10%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 292266
[26/Oct/2020 10:53:32] "GET /api/projector?run=RNN&tag=dense_1&trainJobName=test HTTP/1.1" 200 147
[26/Oct/2020 10:53:33] "GET /api/projector_data?run=oneflow&tag=embedding_projector&step=1&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 404
[26/Oct/2020 10:53:33] "GET /api/histogram?run=vgg&tag=conv11%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 295079
[26/Oct/2020 10:53:34] "GET /api/histogram?run=vgg&tag=conv12%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 296358
[26/Oct/2020 10:53:34] "GET /api/histogram?run=vgg&tag=conv13%2Fweights%2Fhistogram&trainJobName=test HTTP/1.1" 200 301831
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional%2Fbackward_lstm%2Fbias_0&trainJobName=test HTTP/1.1" 200 4900
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional_1%2Fbackward_lstm_1%2Fbias_0&trainJobName=test HTTP/1.1" 200 3463
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional%2Fbackward_lstm%2Fkernel_0&trainJobName=test HTTP/1.1" 200 9670
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional_1%2Fbackward_lstm_1%2Fkernel_0&trainJobName=test HTTP/1.1" 200 9640
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional%2Fbackward_lstm%2Frecurrent_kernel_0&trainJobName=test HTTP/1.1" 200 10334
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional_1%2Fbackward_lstm_1%2Frecurrent_kernel_0&trainJobName=test HTTP/1.1" 200 8375
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional%2Fforward_lstm%2Fbias_0&trainJobName=test HTTP/1.1" 200 4487
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional_1%2Fforward_lstm_1%2Fbias_0&trainJobName=test HTTP/1.1" 200 4107
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional%2Fforward_lstm%2Fkernel_0&trainJobName=test HTTP/1.1" 200 9486
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional_1%2Fforward_lstm_1%2Fkernel_0&trainJobName=test HTTP/1.1" 200 9398
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional%2Fforward_lstm%2Frecurrent_kernel_0&trainJobName=test HTTP/1.1" 200 10252
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=bidirectional_1%2Fforward_lstm_1%2Frecurrent_kernel_0&trainJobName=test HTTP/1.1" 200 8334
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=dense%2Fbias_0&trainJobName=test HTTP/1.1" 200 3493
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=dense_1%2Fbias_0&trainJobName=test HTTP/1.1" 200 575
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=dense%2Fkernel_0&trainJobName=test HTTP/1.1" 200 7411
[26/Oct/2020 10:53:34] "GET /api/histogram?run=RNN&tag=dense_1%2Fkernel_0&trainJobName=test HTTP/1.1" 200 1961
[26/Oct/2020 10:53:35] "GET /api/histogram?run=RNN&tag=embedding%2Fembeddings_0&trainJobName=test HTTP/1.1" 200 15568
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer1%2Factivations&trainJobName=test HTTP/1.1" 200 48299
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer2%2Factivations&trainJobName=test HTTP/1.1" 200 51985
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer1%2Fbiases%2Fsummaries%2Fhistogram&trainJobName=test HTTP/1.1" 200 5145
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer2%2Fbiases%2Fsummaries%2Fhistogram&trainJobName=test HTTP/1.1" 200 3929
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer1%2Flinear_compute%2Flinear&trainJobName=test HTTP/1.1" 200 105802
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer2%2Flinear_compute%2Flinear&trainJobName=test HTTP/1.1" 200 51993
[26/Oct/2020 10:53:35] "GET /api/histogram?run=mnist&tag=layer1%2Fweights%2Fsummaries%2Fhistogram&trainJobName=test HTTP/1.1" 200 116198
[26/Oct/2020 10:53:36] "GET /api/histogram?run=mnist&tag=layer2%2Fweights%2Fsummaries%2Fhistogram&trainJobName=test HTTP/1.1" 200 60050
[26/Oct/2020 10:54:12] "GET /api/hyperparm?run=oneflow&trainJobName=test HTTP/1.1" 200 257
[26/Oct/2020 10:54:17] "GET /api/exception?run=oneflow&tag=tag1&trainJobName=test HTTP/1.1" 200 199
[26/Oct/2020 10:54:17] "GET /api/exception?run=mnist&tag=layer1%2Fbiases%2FVariable:0&trainJobName=test HTTP/1.1" 200 2471
[26/Oct/2020 10:54:17] "GET /api/exception?run=mnist&tag=layer2%2Fbiases%2FVariable:0&trainJobName=test HTTP/1.1" 200 1972
[26/Oct/2020 10:54:17] "GET /api/exception?run=mnist&tag=layer1%2Fweights%2FVariable:0&trainJobName=test HTTP/1.1" 200 2313
[26/Oct/2020 10:54:17] "GET /api/exception?run=mnist&tag=layer2%2Fweights%2FVariable:0&trainJobName=test HTTP/1.1" 200 2459
[26/Oct/2020 10:54:17] "GET /api/exception_data?run=oneflow&tag=tag1&step=10&trainJobName=test HTTP/1.1" 200 1058
[26/Oct/2020 10:54:17] "GET /api/exception_hist?run=oneflow&tag=tag1&step=10&trainJobName=test HTTP/1.1" 200 904
[26/Oct/2020 10:54:17] "GET /api/exception_data?run=mnist&tag=layer1%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 5117
[26/Oct/2020 10:54:18] "GET /api/exception_hist?run=mnist&tag=layer1%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 1701
[26/Oct/2020 10:54:18] "GET /api/exception_data?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 207
[26/Oct/2020 10:54:18] "GET /api/exception_hist?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 611
[26/Oct/2020 10:54:18] "GET /api/exception_data?run=mnist&tag=layer1%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 368727
[26/Oct/2020 10:54:18] "GET /api/exception_hist?run=mnist&tag=layer1%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 7811
[26/Oct/2020 10:54:18] "GET /api/exception_data?run=mnist&tag=layer2%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 48677
[26/Oct/2020 10:54:18] "GET /api/exception_hist?run=mnist&tag=layer2%2Fweights%2FVariable:0&step=0&trainJobName=test HTTP/1.1" 200 3205
[26/Oct/2020 10:54:51] "GET /static/js/manifest.2ae2e69a05c33dfc65f8.js.map HTTP/1.1" 200 4972
[26/Oct/2020 10:54:51] "GET /static/css/app.fe5832ee0d417750f630cb7d8e7e2e61.css.map HTTP/1.1" 200 975325
[26/Oct/2020 10:54:51] "GET /static/js/app.38783f422f3306035bce.js.map HTTP/1.1" 200 1234913
[26/Oct/2020 10:54:52] "GET /static/js/vendor.51946e30b108bb294f21.js.map HTTP/1.1" 200 15230636
[26/Oct/2020 10:55:31] "GET /api/exception_box?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&down=-0.08006636798381805&up=0.1107368627563119&trainJobName=test HTTP/1.1" 200 73
[26/Oct/2020 10:55:40] "GET /api/exception_box?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&down=-0.08006636798381805&up=0.15194641325208874&trainJobName=test HTTP/1.1" 200 73
[26/Oct/2020 10:59:38] "GET /api/exception_box?run=mnist&tag=layer2%2Fbiases%2FVariable:0&step=0&down=-0.08006636798381805&up=0.18325554105970593&trainJobName=test HTTP/1.1" 200 73
[26/Oct/2020 11:00:05] "GET /api/exception_box?run=mnist&tag=layer2%2Fweights%2FVariable:0&step=0&down=-0.0651230476796627&up=0.05260389670729637&trainJobName=test HTTP/1.1" 200 7321
[26/Oct/2020 11:00:10] "GET /api/exception_box?run=mnist&tag=layer2%2Fweights%2FVariable:0&step=0&down=-0.0651230476796627&up=0.05768168555365673&trainJobName=test HTTP/1.1" 200 6822
[26/Oct/2020 11:02:01] "GET /api/exception_box?run=mnist&tag=layer1%2Fweights%2FVariable:0&step=0&down=-0.003662014045403339&up=0.00405619757657405&trainJobName=test HTTP/1.1" 200 112552
[26/Oct/2020 11:11:13] "GET /api/projector_data?run=oneflow&tag=embedding_projector&step=1&method=pca&dims=3&trainJobName=test HTTP/1.1" 200 404
[26/Oct/2020 11:11:13] "GET /api/projector?run=oneflow&tag=embedding_projector&trainJobName=test HTTP/1.1" 200 124
[26/Oct/2020 11:11:14] "GET /api/projector?run=.&tag=outputs&trainJobName=test HTTP/1.1" 200 226
[26/Oct/2020 11:11:14] "GET /api/projector?run=RNN&tag=dense_1&trainJobName=test HTTP/1.1" 200 147
[26/Oct/2020 11:46:06] "GET / HTTP/1.1" 200 707
[26/Oct/2020 11:46:12] "GET /api/init?id=test&trainJobName=test HTTP/1.1" 200 64
[26/Oct/2020 11:46:12] "GET /api/getCategory?trainJobName=test HTTP/1.1" 200 1314
[26/Oct/2020 11:46:18] "GET /api/graph?run=wavenet&tag=c_graph&trainJobName=test HTTP/1.1" 200 1434039
[26/Oct/2020 12:05:01] "GET /api/scalar?run=oneflow&tag=scalar&trainJobName=test HTTP/1.1" 200 196
[26/Oct/2020 12:05:02] "GET /api/scalar?run=wavenet&tag=wavenet_1%2Floss%2Floss&trainJobName=test HTTP/1.1" 200 478
[26/Oct/2020 12:08:18] "GET /api/text?run=oneflow&tag=text&trainJobName=test HTTP/1.1" 200 146
[26/Oct/2020 12:08:18] "GET /api/text?run=train&tag=input%2Fword_1&trainJobName=test HTTP/1.1" 200 541
[26/Oct/2020 12:08:19] "GET /api/text?run=train&tag=input%2Fword_2&trainJobName=test HTTP/1.1" 200 297
[26/Oct/2020 12:08:20] "GET /api/image?run=oneflow&tag=image0&trainJobName=test HTTP/1.1" 200 122
[26/Oct/2020 12:08:20] "GET /api/image?run=oneflow&tag=image1&trainJobName=test HTTP/1.1" 200 122
[26/Oct/2020 12:08:20] "GET /api/image?run=oneflow&tag=image2&trainJobName=test HTTP/1.1" 200 122
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=1&run=oneflow&tag=image0&trainJobName=test HTTP/1.1" 200 452678
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=1&run=oneflow&tag=image1&trainJobName=test HTTP/1.1" 200 437572
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=1&run=oneflow&tag=image2&trainJobName=test HTTP/1.1" 200 219
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 2550
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1985
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 2143
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 1995
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 2245
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 2014
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1722
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 2253
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:20] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 2517
[26/Oct/2020 12:08:20] "GET /api/image?run=vgg&tag=input%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 1867
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=200&run=vgg&tag=input%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 2454
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F0&trainJobName=test HTTP/1.1" 200 427
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F1&trainJobName=test HTTP/1.1" 200 435
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F2&trainJobName=test HTTP/1.1" 200 276
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F3&trainJobName=test HTTP/1.1" 200 330
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F4&trainJobName=test HTTP/1.1" 200 300
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F5&trainJobName=test HTTP/1.1" 200 399
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F6&trainJobName=test HTTP/1.1" 200 309
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F7&trainJobName=test HTTP/1.1" 200 371
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:21] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 371
[26/Oct/2020 12:08:21] "GET /api/image?run=mnist&tag=input_reshape%2Finput%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 1052
[26/Oct/2020 12:08:22] "GET /api/image_raw?step=0&run=mnist&tag=input_reshape%2Finput%2Fimage%2F9&trainJobName=test HTTP/1.1" 200 307
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=10&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 390
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=30&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 287
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=40&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 370
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=50&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 213
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=70&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 378
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=130&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 385
[26/Oct/2020 12:08:34] "GET /api/image_raw?step=160&run=mnist&tag=input_reshape%2Finput%2Fimage%2F8&trainJobName=test HTTP/1.1" 200 429
